class,precision,recall,fscore,total
0,0.7580645161290323,0.8545454545454545,0.8034188034188033,55
1,0.9098360655737705,0.888,0.8987854251012145,125
2,0.3333333333333333,0.3333333333333333,0.3333333333333333,15
3,0.5714285714285714,0.5333333333333333,0.5517241379310344,15
4,0.4444444444444444,0.4,0.4210526315789474,50
5,0.6521739130434783,0.8181818181818182,0.7258064516129032,55
6,0.7777777777777778,0.4666666666666667,0.5833333333333334,15
7,0.8,0.8,0.8000000000000002,15
8,0.7543859649122807,0.86,0.8037383177570094,50
9,0.8035714285714286,0.72,0.759493670886076,125
