class,precision,recall,fscore,total
0,0.8360655737704918,0.9272727272727272,0.8793103448275862,55
1,0.9448818897637795,0.96,0.9523809523809523,125
2,0.7777777777777778,0.4666666666666667,0.5833333333333334,15
3,0.8666666666666667,0.8666666666666667,0.8666666666666667,15
4,0.775,0.62,0.6888888888888889,50
5,0.8333333333333334,0.9090909090909091,0.8695652173913043,55
6,1.0,0.4666666666666667,0.6363636363636364,15
7,0.9375,1.0,0.967741935483871,15
8,0.7796610169491526,0.92,0.8440366972477064,50
9,0.8650793650793651,0.872,0.8685258964143426,125
