class,precision,recall,fscore,total
0,0.5,0.5,0.5,4
1,0.3333333333333333,1.0,0.5,2
2,1.0,0.75,0.8571428571428571,4
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
4,0.0,0.0,0.0,2
5,0.5,0.5,0.5,2
6,0.6666666666666666,0.5,0.5714285714285715,4
7,1.0,0.3333333333333333,0.5,3
8,1.0,1.0,1.0,3
9,1.0,0.5,0.6666666666666666,4
10,0.5,0.3333333333333333,0.4,3
11,1.0,0.75,0.8571428571428571,4
12,0.2857142857142857,0.6666666666666666,0.4,3
13,0.6,0.75,0.6666666666666665,4
14,1.0,1.0,1.0,3
15,1.0,0.6666666666666666,0.8,3
16,0.6,1.0,0.7499999999999999,3
17,0.5,0.75,0.6,4
18,1.0,0.6666666666666666,0.8,3
19,1.0,1.0,1.0,2
20,1.0,1.0,1.0,3
21,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
22,0.75,1.0,0.8571428571428571,3
23,1.0,0.5,0.6666666666666666,2
24,1.0,0.6666666666666666,0.8,3
25,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
