class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,1.0,1.0,1.0,2
2,1.0,0.75,0.8571428571428571,4
3,1.0,1.0,1.0,3
4,1.0,1.0,1.0,2
5,0.3333333333333333,0.5,0.4,2
6,1.0,0.75,0.8571428571428571,4
7,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
8,1.0,1.0,1.0,3
9,0.75,0.75,0.75,4
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
11,0.8,1.0,0.888888888888889,4
12,0.5,0.3333333333333333,0.4,3
13,1.0,1.0,1.0,4
14,1.0,1.0,1.0,3
15,0.75,1.0,0.8571428571428571,3
16,0.75,1.0,0.8571428571428571,3
17,0.42857142857142855,0.75,0.5454545454545454,4
18,1.0,0.6666666666666666,0.8,3
19,0.0,0.0,0.0,2
20,1.0,1.0,1.0,3
21,1.0,1.0,1.0,3
22,1.0,1.0,1.0,3
23,1.0,0.5,0.6666666666666666,2
24,1.0,1.0,1.0,3
25,1.0,0.3333333333333333,0.5,3
